Order,Name,Class,Country,Ugrad,PhD,year
1,Steff Wells,Wednesday,America,0,0,2
2,Arun Chattarak,Tuesday,India,0,0,2
3,Raktavati Sirasikar,Wednesday,India,0,0,2
4,Minh Vinh,Wednesday,Vietnamese,1,0,3
5,Gabby Price,Wednesday,America,0,1,2
6,Shakuntala Gazdar,Wednesday,India,0,0,1
7,Bhairavi Chattarak,Wednesday,India,0,0,1
8,Aasiya Upalekar,Wednesday,India,0,0,2
9,Jatayu Roychaudhuri,Tuesday,India,0,0,2
10,Shakti Mukhtar,Tuesday,India,0,0,2
11,Muskaanb Bakshi,Wednesday,India,0,0,2
12,Zhu Chin,Tuesday,China,0,0,2
13,Phoenix Russell,Tuesday,America,0,0,2
14,Luna Atenas,Wednesday,Mexico,0,0,2
15,Deng Jianhong,Tuesday,China,1,0,4
16,Fan Shu,Wednesday,China,0,0,2
17,Karine Picard,Wednesday,France,0,0,2
18,Maddox Howard,Wednesday,America,1,0,3
19,Vikramaditya Ahuja,Tuesday,India,0,0,1
20,Kasturbai Nambisan,Tuesday,India,0,0,2
21,Madri Pandey,Tuesday,India,0,0,2
22,Praanvi Pandey,Tuesday,India,0,0,2
23,Shao Yong,Tuesday,China,0,0,1
24,Yogarasa Panja,Tuesday,India,0,0,2
25,Srijan Bhaumik,Wednesday,India,0,0,1
26,Leela Deshmukh,Tuesday,India,0,0,2
27,Sa Jae-Wook,Tuesday,Korea,0,0,2
28,Jeff Hemsley,Both,America,0,0,2
29,Fan Cai,Tuesday,China,0,0,1
30,Wu Kun,Wednesday,China,0,0,2
31,Jo Hunter,Wednesday,America,1,0,4
32,Ton Chong-Hui,Wednesday,Korea,0,0,2
33,Daksh Pavagi,Tuesday,India,0,0,2
34,Guo Xuefeng,Tuesday,China,0,0,1
35,Yin Wei,Tuesday,China,0,0,2
36,Liao Lin,Wednesday,China,0,0,2
37,Versha Panja,Tuesday,India,0,0,2
38,Anguri Ghoshal,Tuesday,India,1,0,4
39,Danni Wolf,Wednesday,America,0,0,2
40,Ali Tillman,Wednesday,America,0,0,2
41,Miranda Abellan,Wednesday,Mexico,1,0,3
42,Waazir Shree,Tuesday,India,0,0,2
43,Xiong Dong,Wednesday,China,0,0,2
44,Manasa Pande,Tuesday,India,0,0,2
45,Xuan Li,Tuesday,China,0,0,1
46,Xuan Chao,Tuesday,China,0,0,1
47,Arnaud Bourcier,Wednesday,France,0,0,1
48,Priya Upandhye,Wednesday,India,0,0,1
49,Viswarupa Viswan,Wednesday,India,0,0,2
50,Glen Winters,Wednesday,America,0,1,1
51,Ren Wuhan,Tuesday,China,0,0,1
52,Vineet Ranganekary,Tuesday,India,0,0,2
53,Dayananda Bandyopadhyay,Wednesday,India,0,0,1
54,Yu Xun,Tuesday,China,0,0,2
55,Zhong Lei,Tuesday,China,0,0,2
56,Aryabhata Limbu,Tuesday,India,0,0,1
57,Vaidehi Phadanis,Wednesday,India,0,0,1
58,Ishwar Chattarak,Wednesday,India,0,0,2
59,Olga Novikov,Wednesday,Ukraine,0,0,2
60,Raktavati Anagal,Wednesday,India,0,0,1
61,Aditya Acharekar,Tuesday,India,0,0,1
62,Jayadeva Sirasikar,Wednesday,India,0,0,1
63,Guo Zhen,Tuesday,China,1,0,4
64,Tivra Upasani,Tuesday,India,0,0,2
65,Jindan Bhavalakar,Wednesday,India,0,0,1
66,Su Ming,Tuesday,China,0,0,1
67,Qiao Hua,Wednesday,China,0,1,3
68,Ding Ning,Wednesday,China,0,0,2
69,Zi Yang,Wednesday,China,0,0,1
70,Shen Jun,Tuesday,China,0,0,2
71,Huang Chang,Tuesday,China,0,0,2
72,Bai Ning,Wednesday,China,0,0,2
73,Wang Guanting,Wednesday,China,0,0,1
