x	sale.date	sales.rep	rep.sex	rep.region	rep.feedback	wine	type	cost	unit.price	units.sold	income	expenses	year
9011	1/1/2010	Clement Arias	1	North	4	Riesling	white	2.097	7.94	13	103.22	4.22	2010
1962	1/1/2010	Deloras Mcfetridge	0	West	7	Riesling	white	2.097	6.99	12	83.88	4.5594	2010
271	1/2/2010	Lolita Wass	0	Central	6	Pinot Gris	white	3.741	12.04	19	228.76	7.54	2010
6495	1/2/2010	Nilda Hypolite	0	Central	6	Riesling	white	2.097	6.56	18	118.08	4.76	2010
5733	1/2/2010	Yolando Galicia	0	North	6	Chardonnay	white	3.15	11.45	19	217.55	6.55	2010
7108	1/2/2010	Yolando Galicia	0	North	5	Pinot Gris	white	3.741	13.42	19	254.98	8.28	2010
6374	1/2/2010	Jewel Copas	1	South	6	Cabernet Sauvignon	red	3.624	11.96	15	179.4	6.1845	2010
6831	1/2/2010	Deloras Mcfetridge	0	West	5	Merlot	red	2.229	7.43	10	74.3	4.131	2010
6934	1/3/2010	Aiko Hamsher	0	East	7	Pinot Gris	white	3.741	12.47	21	261.87	6.783	2010
6106	1/3/2010	Aiko Hamsher	0	East	6	Riesling	white	2.097	6.99	24	167.76	5.4495	2010
1571	1/3/2010	Aiko Hamsher	0	East	7	Sauvignon Blanc	white	2.697	8.99	8	71.92	5.0715	2010
1139	1/3/2010	Ben Gerry	1	East	6	Sauvignon Blanc	white	2.697	8.99	16	143.84	5.544	2010
4327	1/3/2010	Lesia Belt	0	West	7	Sauvignon Blanc	white	2.697	8.99	14	125.86	5.5182	2010
8836	1/4/2010	Ben Gerry	1	East	6	Merlot	red	2.229	7.43	20	148.6	5.124	2010
6434	1/4/2010	Kym Velarde	0	East	6	Chardonnay	white	3.15	10.5	26	273	7.35	2010
2314	1/4/2010	Kym Velarde	0	East	6	Sauvignon Blanc	white	2.697	8.99	21	188.79	6.7515	2010
160	1/4/2010	Clement Arias	1	North	6	Merlot	red	2.229	8.38	17	142.46	4.98	2010
1196	1/4/2010	Eura Begay	0	North	6	Cabernet Sauvignon	red	3.624	13.03	18	234.54	6.43	2010
755	1/4/2010	Deloras Mcfetridge	0	West	7	Cabernet Sauvignon	red	3.624	12.08	29	350.32	7.3134	2010
6484	1/4/2010	Lesia Belt	0	West	6	Riesling	white	2.097	6.99	10	69.9	3.8964	2010
8990	1/5/2010	Lolita Wass	0	Central	5	Pinot Gris	white	3.741	12.04	13	156.52	6.78	2010
1087	1/5/2010	Aiko Hamsher	0	East	4	Riesling	white	2.097	6.99	11	76.89	4.746	2010
394	1/5/2010	Clement Arias	1	North	5	Riesling	white	2.097	7.94	25	198.5	5.46	2010
4932	1/5/2010	Lavera Mccallie	0	South	6	Cabernet Sauvignon	red	3.624	11.96	15	179.4	6.6785	2010
5537	1/6/2010	Dannette Saltsman	0	Central	5	Chardonnay	white	3.15	10.07	19	191.33	7.24	2010
4986	1/6/2010	Lolita Wass	0	Central	6	Merlot	red	2.229	7	21	147	4.92	2010
5722	1/6/2010	Clement Arias	1	North	6	Chardonnay	white	3.15	11.45	25	286.25	7.49	2010
3753	1/6/2010	Deloras Mcfetridge	0	West	6	Cabernet Sauvignon	red	3.624	12.08	17	205.36	7.0278	2010
423	1/6/2010	Vicki Kilkenny	0	West	6	Chardonnay	white	3.15	10.5	8	84	5.865	2010
2684	1/7/2010	Virgilio Mcelligott	1	Central	5	Merlot	red	2.229	7	12	84	3.73	2010
661	1/7/2010	Kym Velarde	0	East	7	Merlot	red	2.229	7.43	15	111.45	4.5045	2010
9561	1/7/2010	Clement Arias	1	North	6	Cabernet Sauvignon	red	3.624	13.03	21	273.63	8.08	2010
4158	1/7/2010	Eura Begay	0	North	6	Chardonnay	white	3.15	11.45	17	194.65	6.29	2010
2702	1/7/2010	Yolando Galicia	0	North	4	Cabernet Sauvignon	red	3.624	13.03	24	312.72	6.76	2010
493	1/7/2010	Yolando Galicia	0	North	7	Chardonnay	white	3.15	11.45	12	137.4	5.55	2010
6141	1/7/2010	Tori Hastie	0	South	8	Chardonnay	white	3.15	10.38	9	93.42	4.94	2010
3059	1/7/2010	Bianca Suchan	0	West	7	Chardonnay	white	3.15	10.5	17	178.5	6.9258	2010
796	1/8/2010	Nilda Hypolite	0	Central	6	Pinot Gris	white	3.741	12.04	14	168.56	6.46	2010
7021	1/8/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	16	118.88	4.851	2010
8195	1/8/2010	Ben Gerry	1	East	8	Cabernet Sauvignon	red	3.624	12.08	12	144.96	6.069	2010
5734	1/8/2010	Karry Noell	0	East	6	Merlot	red	2.229	7.43	13	96.59	4.7565	2010
6181	1/8/2010	Karry Noell	0	East	5	Merlot	red	2.229	7.43	14	104.02	4.5885	2010
8622	1/8/2010	Shameka Mertes	0	North	6	Merlot	red	2.229	8.38	22	184.36	5.24	2010
8226	1/8/2010	Tori Hastie	0	South	7	Merlot	red	2.229	7.31	17	124.27	4.693	2010
8144	1/8/2010	Lesia Belt	0	West	8	Riesling	white	2.097	6.99	12	83.88	4.3758	2010
4580	1/9/2010	Nilda Hypolite	0	Central	6	Merlot	red	2.229	7	9	63	3.58	2010
